Filename,Lines,Line Samples,Bands,First Band (µm),Last Band (µm),Possible Elements
v1485801912_1.lbl,64,64,352,0.36,0.42,
v1514085416_1.lbl,18,36,352,0.35895,0.3879,
v1513800396_1.lbl,8,48,352,0.35895,0.3879,
v1485774343_1.lbl,12,12,352,0.36,0.42,
v1486453318_1.lbl,64,64,352,0.36,0.42,
v1486961099_1.lbl,64,64,352,0.36,0.42,
v1485774306_1.lbl,12,12,352,0.36,0.42,
v1514190979_1.lbl,16,24,352,0.35895,0.3879,
v1481626515_1.lbl,12,24,352,0.36,0.42,
v1486386586_1.lbl,64,64,352,0.36,0.42,
v1477480683_1.lbl,12,12,352,0.36,0.42,
v1513797515_1.lbl,8,48,352,0.35895,0.3879,
v1514209016_3.lbl,32,32,352,0.35895,0.3879,
v1483232850_1.lbl,6,6,352,0.36,0.42,
v1485803380_1.lbl,4,16,352,0.36,0.42,
v1513878842_1.lbl,12,24,352,0.35895,0.3879,
v1481212289_1.lbl,64,64,352,0.36,0.42,
v1477473988_1.lbl,64,64,352,0.36,0.42,
v1478544316_1.lbl,32,64,352,0.36,0.42,
v1478718431_1.lbl,56,56,352,0.36,0.42,
v1512065952_1.lbl,12,32,352,0.35895,0.3879,
v1511979983_1.lbl,16,12,352,0.35895,0.3879,
v1477858505_1.lbl,32,32,352,0.36,0.42,
v1479851137_5.lbl,64,64,352,0.36,0.42,
v1476540502_5.lbl,54,48,352,0.36,0.42,
v1514080868_1.lbl,18,36,352,0.35895,0.3879,
v1485776506_1.lbl,64,64,352,0.36,0.42,
v1477857084_1.lbl,32,32,352,0.36,0.42,
v1514060358_1.lbl,24,48,352,0.35895,0.3879,
v1476915319_1.lbl,64,64,352,0.36,0.42,
v1512226270_1.lbl,12,64,352,0.35895,0.3879,
v1481719810_1.lbl,48,32,352,0.36,0.42,
v1475300640_3.lbl,60,48,352,0.36,0.42,
v1473296950_1.lbl,54,54,352,0.36,0.42,
v1475037658_1.lbl,60,48,352,0.36,0.42,
v1514562156_1.lbl,16,12,352,0.35895,0.3879,
v1481728306_1.lbl,32,32,352,0.36,0.42,
v1467453456_1.lbl,36,36,352,0.36,0.42,
v1477668208_1.lbl,6,64,352,0.36,0.42,
v1474724389_1.lbl,60,48,352,0.36,0.42,
v1514300781_1.lbl,12,12,352,0.35895,0.3879,
v1514065951_1.lbl,24,48,352,0.35895,0.3879,
v1513802327_5.lbl,8,48,352,0.35895,0.3879,
v1485873199_1.lbl,24,24,352,0.36,0.42,
v1467538132_1.lbl,42,42,352,0.36,0.42,
v1514164063_1.lbl,18,36,352,0.35895,0.3879,
v1476575115_1.lbl,12,24,352,0.36,0.42,
v1472290305_1.lbl,54,60,352,0.36,0.42,
v1485800848_1.lbl,12,12,352,0.36,0.42,
v1512179451_1.lbl,12,64,352,0.35895,0.3879,
v1484851850_1.lbl,64,16,352,0.36,0.42,
v1469261018_1.lbl,48,64,352,0.36,0.42,
v1512062068_1.lbl,12,32,352,0.35895,0.3879,
v1487121516_1.lbl,12,12,352,0.36,0.42,
v1472166732_1.lbl,54,60,352,0.36,0.42,
v1484607993_1.lbl,36,36,352,0.36,0.42,
v1513908893_1.lbl,12,24,352,0.35895,0.3879,
v1470985171_1.lbl,54,60,352,0.36,0.42,
v1477487933_1.lbl,12,12,352,0.36,0.42,
v1481624812_1.lbl,12,24,352,0.36,0.42,
v1473554245_3.lbl,54,60,352,0.36,0.42,
v1479418789_1.lbl,64,64,352,0.36,0.42,
v1513895684_1.lbl,12,24,352,0.35895,0.3879,
v1514004893_1.lbl,12,24,352,0.35895,0.3879,
v1471360247_1.lbl,54,60,352,0.36,0.42,
v1513899968_1.lbl,12,24,352,0.35895,0.3879,
v1513818656_1.lbl,8,48,352,0.35895,0.3879,
v1512080618_1.lbl,12,32,352,0.35895,0.3879,
v1485797344_1.lbl,64,64,352,0.36,0.42,
v1479340180_1.lbl,64,64,352,0.36,0.42,
v1513788758_5.lbl,8,48,352,0.35895,0.3879,
v1485767564_1.lbl,32,64,352,0.36,0.42,
v1514129251_1.lbl,24,48,352,0.35895,0.3879,
v1473733597_1.lbl,60,48,352,0.36,0.42,
v1512086460_1.lbl,12,32,352,0.35895,0.3879,
v1477781980_1.lbl,64,64,352,0.36,0.42,
v1472422381_1.lbl,54,60,352,0.36,0.42,
v1479847561_1.lbl,64,64,352,0.36,0.42,
v1476837212_7.lbl,48,48,352,0.36,0.42,
v1486567836_1.lbl,64,64,352,0.36,0.42,
v1481627653_1.lbl,12,24,352,0.36,0.42,
v1479206081_1.lbl,64,64,352,0.36,0.42,
v1481766143_1.lbl,28,54,352,0.36,0.42,
v1487095734_1.lbl,48,64,352,0.36,0.42,
v1514309549_1.lbl,64,64,352,0.35895,0.3879,
v1511988993_1.lbl,16,12,352,0.35895,0.3879,
v1487113791_1.lbl,48,64,352,0.36,0.42,
v1473970425_1.lbl,60,48,352,0.36,0.42,
v1481733063_4.lbl,64,48,352,0.36,0.42,
v1470585282_1.lbl,54,60,352,0.36,0.42,
v1467351522_1.lbl,12,12,352,0.36,0.42,
v1476575371_1.lbl,12,12,352,0.36,0.42,
v1514185972_1.lbl,64,32,352,0.35895,0.3879,
v1512066796_1.lbl,12,32,352,0.35895,0.3879,
v1479585000_1.lbl,64,64,352,0.36,0.42,
v1481611895_1.lbl,64,64,352,0.36,0.42,
v1477229290_1.lbl,48,48,352,0.36,0.42,
v1514301171_1.lbl,12,12,352,0.35895,0.3879,
v1485791245_1.lbl,4,16,352,0.36,0.42,
v1474229627_1.lbl,60,48,352,0.36,0.42,
v1513881341_1.lbl,12,24,352,0.35895,0.3879,
v1470716138_1.lbl,54,60,352,0.36,0.42,
v1512149109_1.lbl,12,64,352,0.35895,0.3879,
v1471496500_1.lbl,54,60,352,0.36,0.42,
v1477484027_1.lbl,12,12,352,0.36,0.42,
v1486557475_1.lbl,64,64,352,0.36,0.42,
v1470868873_1.lbl,54,60,352,0.36,0.42,
v1512250374_1.lbl,64,64,352,0.35895,0.3879,
v1514295398_1.lbl,12,12,352,0.35895,0.3879,
v1514132761_1.lbl,16,30,352,0.35895,0.3879,
v1477489943_1.lbl,12,12,352,0.36,0.42,
v1472682479_8.lbl,54,60,352,0.36,0.42,
v1471109093_1.lbl,54,60,352,0.36,0.42,
v1478551696_1.lbl,32,64,352,0.36,0.42,
v1476645766_1.lbl,12,24,352,0.36,0.42,
v1477442007_1.lbl,64,16,352,0.36,0.42,
v1472798836_1.lbl,54,60,352,0.36,0.42,
v1476214418_1.lbl,24,24,352,0.36,0.42,
v1470730503_1.lbl,54,60,352,0.36,0.42,
v1481624171_1.lbl,12,24,352,0.36,0.42,
v1485790595_1.lbl,12,12,352,0.36,0.42,
v1513878548_1.lbl,12,24,352,0.35895,0.3879,
v1467464077_1.lbl,48,54,352,0.36,0.42,
v1478476364_1.lbl,32,32,352,0.36,0.42,
v1477952163_1.lbl,12,64,352,0.36,0.42,
v1487018153_1.lbl,64,64,352,0.36,0.42,
v1477449731_1.lbl,48,48,352,0.36,0.42,
v1513879199_1.lbl,12,24,352,0.35895,0.3879,
v1478475851_1.lbl,32,32,352,0.36,0.42,
v1477486481_1.lbl,12,12,352,0.36,0.42,
v1472200582_1.lbl,54,60,352,0.36,0.42,
v1472920972_1.lbl,54,60,352,0.36,0.42,
v1481665926_1.lbl,64,64,352,0.36,0.42,
v1512359873_1.lbl,24,64,352,0.35895,0.3879,
v1513901039_1.lbl,12,24,352,0.35895,0.3879,
v1512199032_1.lbl,12,64,352,0.35895,0.3879,
v1514209977_1.lbl,64,64,352,0.35895,0.3879,
v1485894353_1.lbl,24,24,352,0.36,0.42,
v1512211325_1.lbl,12,64,352,0.35895,0.3879,
v1514080317_1.lbl,18,36,352,0.35895,0.3879,
v1477417363_1.lbl,32,64,352,0.36,0.42,
v1514166091_1.lbl,18,36,352,0.35895,0.3879,
v1481622539_1.lbl,12,36,352,0.36,0.42,
v1478550669_3.lbl,32,64,352,0.36,0.42,
v1474234426_1.lbl,60,48,352,0.36,0.42,
v1514132957_1.lbl,16,30,352,0.35895,0.3879,
v1513905974_1.lbl,12,24,352,0.35895,0.3879,
v1486849234_1.lbl,64,64,352,0.36,0.42,
v1471910202_1.lbl,54,60,352,0.36,0.42,
v1485800888_1.lbl,12,12,352,0.36,0.42,
v1471385536_1.lbl,54,60,352,0.36,0.42,
v1485796926_1.lbl,12,12,352,0.36,0.42,
v1513889972_1.lbl,12,24,352,0.35895,0.3879,
v1513793638_1.lbl,8,48,352,0.35895,0.3879,
v1513893479_1.lbl,12,24,352,0.35895,0.3879,
v1513804302_1.lbl,8,48,352,0.35895,0.3879,
v1484608491_1.lbl,36,36,352,0.36,0.42,
v1486998899_1.lbl,64,64,352,0.36,0.42,
v1512345095_1.lbl,32,64,352,0.35895,0.3879,
v1512346714_3.lbl,32,64,352,0.35895,0.3879,
v1485959064_1.lbl,64,64,352,0.36,0.42,
v1472409766_3.lbl,54,60,352,0.36,0.42,
v1472983590_1.lbl,54,60,352,0.36,0.42,
v1512011302_1.lbl,12,32,352,0.35895,0.3879,
v1514295040_1.lbl,12,12,352,0.35895,0.3879,
v1476575779_1.lbl,12,24,352,0.36,0.42,
v1487081877_1.lbl,42,64,352,0.36,0.42,
v1471378308_1.lbl,54,60,352,0.36,0.42,
v1514006845_1.lbl,12,24,352,0.35895,0.3879,
v1511988518_1.lbl,16,12,352,0.35895,0.3879,
v1514089242_1.lbl,24,36,352,0.35895,0.3879,
v1511976545_1.lbl,24,12,352,0.35895,0.3879,
v1479825942_1.lbl,64,64,352,0.36,0.42,
v1513884197_1.lbl,12,24,352,0.35895,0.3879,
v1473722545_9.lbl,60,48,352,0.36,0.42,
v1511984013_1.lbl,16,12,352,0.35895,0.3879,
v1483233152_1.lbl,6,6,352,0.36,0.42,
v1476646735_1.lbl,12,12,352,0.36,0.42,
v1481717844_1.lbl,64,32,352,0.36,0.42,
v1479407989_1.lbl,64,64,352,0.36,0.42,
v1484840331_4.lbl,64,16,352,0.36,0.42,
v1478545686_1.lbl,32,64,352,0.36,0.42,
v1479238469_5.lbl,64,64,352,0.36,0.42,
v1514301916_1.lbl,12,12,352,0.35895,0.3879,
v1485774669_1.lbl,12,12,352,0.36,0.42,
