Filename,Lines,Samples,Bands,First_Band,Last_Band,Confidence
v1871434336_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434373_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435336_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435373_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433948_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434037_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434072_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434831_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435037_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435072_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433988_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433975_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434463_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433930_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871567366_1.lbl,40,28,352,0.35,5.102,0.0654930209913
v1871435216_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434682_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434216_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433868_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871512370_1.lbl,16,24,352,0.35,5.102,0.0654930209913
v1871435152_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435117_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434152_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434117_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435447_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434890_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435746_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433687_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434746_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434828_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435176_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434935_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434970_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433809_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433722_1.lbl,6,16,352,0.35,5.102,0.0654930209913
